timestamp,x,y,z
1.98,0.026397,-0.030491,0.967019
1.99,-0.072703,-0.040045,0.980398
2.0,0.00758,0.06023,1.001997
2.01,0.060682,0.008149,0.958032
2.02,-0.021506,-0.058664,0.975386
2.03,-0.052499,0.014477,1.00443
2.04,0.067349,0.04681,0.977734
2.05,0.015114,-0.027663,0.968191
2.06,-0.064057,-0.02716,0.997568
2.07,0.036351,0.05542,0.987973
2.08,0.045192,-0.013119,0.963198
2.09,-0.046476,-0.050102,0.977597
2.1,-0.034007,0.039695,1.003641
2.11,0.058117,0.013382,0.964845
2.12,-0.009365,-0.052663,0.964897
2.13,-0.07546,-0.011598,1.002042
2.14,0.063532,0.053503,0.980656
2.15,0.027092,-0.042968,0.966285
2.16,-0.057079,-0.030603,0.988647
2.17,0.016074,0.078721,1.00107
2.18,0.057655,0.005673,0.959388
2.19,-0.035639,-0.036269,0.976772
2.2,-0.059115,0.022676,1.006221
2.21,0.057275,0.03269,0.973131
2.22,0.020507,-0.035606,0.962078
2.23,-0.072769,-0.03131,1.000967
2.24,0.052847,0.054745,0.993743
2.25,0.037649,-0.014162,0.95797
2.26,-0.049295,-0.05434,0.981763
2.27,-0.014301,0.052118,1.003936
2.28,0.058134,0.012686,0.965501
2.29,-0.00627,-0.046648,0.963552
2.3,-0.061148,0.013507,1.000595
2.31,0.062286,0.041301,0.983896
2.32,0.029331,-0.025281,0.9634
2.33,-0.06054,-0.03782,0.996543
2.34,0.026579,0.072412,0.998915
2.35,0.057487,0.001241,0.961881
2.36,-0.037462,-0.047725,0.973352
2.37,-0.045609,0.032633,1.006893
2.38,0.057813,0.027912,0.971954
2.39,-0.003519,-0.040329,0.965793
2.4,-0.072436,-0.020499,1.000385
2.41,0.050452,0.061067,0.989606
2.42,0.045415,-0.017612,0.958025
2.43,-0.055422,-0.048094,0.980755
2.44,-0.012161,0.053762,1.001022
2.45,0.054233,0.014919,0.964336
2.46,-0.028801,-0.047871,0.974231
2.47,-0.066427,0.006213,1.003576
2.48,0.063677,0.042139,0.97795
2.49,0.000974,-0.029569,0.967767
2.5,-0.067171,-0.038403,0.986007
2.51,0.04058,0.057003,0.9929
2.52,0.047114,-0.006356,0.963518
2.53,-0.039794,-0.04813,0.975879
2.54,-0.042219,0.041726,1.005007
2.55,0.073691,0.026856,0.96594
2.56,-0.011141,-0.049894,0.96545
2.57,-0.075968,-0.012583,0.999079
2.58,0.064951,0.043724,0.984022
2.59,0.039883,-0.023401,0.962219
2.6,-0.061683,-0.045031,0.987107
2.61,0.009679,0.068488,1.002013
2.62,0.063683,0.01001,0.966603
2.63,-0.021565,-0.056882,0.969391
2.64,-0.052016,0.017677,1.009136
2.65,0.075818,0.041458,0.974429
2.66,0.006511,-0.033604,0.968685
