timestamp,x,y,z
0.67,-0.198109,-0.096243,1.012645
0.68,0.144379,0.195296,1.01427
0.69,0.105328,-0.030931,0.93348
0.7,-0.10867,-0.116337,0.961957
0.71,-0.102296,0.12146,1.047654
0.72,0.140409,0.028977,0.924444
0.73,-0.018016,-0.124829,0.943399
0.74,-0.220985,-0.051268,1.042055
0.75,0.188996,0.128721,0.968196
0.76,0.062196,-0.051602,0.939221
0.77,-0.144654,-0.08288,0.989313
0.78,0.057872,0.178784,1.023141
0.79,0.124035,0.014293,0.926746
0.8,-0.057737,-0.107077,0.954567
0.81,-0.184953,0.058234,1.059941
0.82,0.16706,0.071703,0.941381
0.83,0.009614,-0.094954,0.943617
0.84,-0.218497,-0.090774,1.026201
0.85,0.157172,0.163992,1.00752
0.86,0.094346,-0.055446,0.935197
0.87,-0.103875,-0.133907,0.966065
0.88,-0.051029,0.160265,1.049378
0.89,0.150966,0.019817,0.937145
0.9,-0.02595,-0.114287,0.947185
0.91,-0.22108,-0.019297,1.05069
0.92,0.177062,0.121081,0.969322
0.93,0.054678,-0.073127,0.945256
0.94,-0.180973,-0.122353,0.996499
0.95,0.06181,0.202296,1.033886
0.96,0.106444,0.008199,0.937866
0.97,-0.083664,-0.105029,0.950179
0.98,-0.14967,0.095903,1.047664
0.99,0.154792,0.069826,0.953064
1.0,-0.002495,-0.08618,0.944803
1.01,-0.197891,-0.072371,1.016786
1.02,0.160293,0.164797,0.990294
1.03,0.10019,-0.041215,0.94155
1.04,-0.126909,-0.129736,0.972639
1.05,-0.02649,0.175175,1.046065
1.06,0.128656,-0.001197,0.941446
1.07,-0.047282,-0.117677,0.941082
1.08,-0.202426,0.018978,1.046486
1.09,0.160261,0.107337,0.962957
1.1,0.04861,-0.064606,0.943487
1.11,-0.171989,-0.113771,1.00609
1.12,0.097924,0.171837,1.027165
1.13,0.099113,-0.0217,0.934552
1.14,-0.079673,-0.110913,0.9614
1.15,-0.134568,0.10817,1.056696
1.16,0.162352,0.057964,0.940457
1.17,-0.009307,-0.107179,0.944553
1.18,-0.200643,-0.060376,1.034997
1.19,0.171023,0.132852,0.991035
1.2,0.069399,-0.050784,0.941375
1.21,-0.126233,-0.117177,0.980563
1.22,0.011277,0.168492,1.039271
1.23,0.151046,0.004481,0.932757
1.24,-0.041948,-0.111152,0.94893
1.25,-0.196106,0.024071,1.055849
1.26,0.195376,0.104774,0.968719
1.27,0.016605,-0.089949,0.9387
1.28,-0.195999,-0.107243,1.01294
1.29,0.116337,0.155218,1.0202
1.3,0.10529,-0.037891,0.934894
1.31,-0.10654,-0.116654,0.976549
1.32,-0.091346,0.120104,1.054558
1.33,0.150779,0.051327,0.939073
1.34,-0.038151,-0.107096,0.939881
1.35,-0.234843,-0.031336,1.03771
1.36,0.183329,0.131518,0.979969
1.37,0.081115,-0.064239,0.944176
1.38,-0.117947,-0.118016,0.988664
1.39,0.075194,0.184432,1.045777
1.4,0.134477,0.020264,0.931619
1.41,-0.072297,-0.137556,0.94929
1.42,-0.209186,0.027845,1.073293
1.43,0.176402,0.064085,0.952339
1.44,0.008576,-0.093955,0.938151
1.45,-0.205484,-0.08732,1.013509
1.46,0.138679,0.177864,0.999958
1.47,0.100944,-0.040371,0.94101
1.48,-0.087569,-0.102697,0.964999
1.49,-0.065692,0.159264,1.055021
1.5,0.145618,0.02814,0.934536
1.51,-0.043125,-0.095165,0.950025
1.52,-0.241424,-0.023326,1.040187
1.53,0.176143,0.109626,0.964483
1.54,0.058959,-0.064366,0.941396
1.55,-0.134767,-0.114043,0.997191
1.56,0.071429,0.187431,1.033545
1.57,0.135955,0.009554,0.92761
1.58,-0.074837,-0.140031,0.958048
1.59,-0.176643,0.059243,1.053879
1.6,0.156053,0.044425,0.942088
1.61,-0.00266,-0.10286,0.937398
1.62,-0.185123,-0.087225,1.032579
1.63,0.150741,0.143498,1.001133
1.64,0.104395,-0.056342,0.940165
1.65,-0.122532,-0.126546,0.979923
1.66,-0.023806,0.191862,1.067467
1.67,0.146496,0.039337,0.923147
1.68,-0.042068,-0.11278,0.942446
1.69,-0.215985,-0.008775,1.046224
1.7,0.173769,0.088182,0.958798
1.71,0.052875,-0.103053,0.934424
1.72,-0.175636,-0.113467,0.998902
1.73,0.082084,0.17472,1.016946
1.74,0.103142,-0.017114,0.935102
1.75,-0.075462,-0.130925,0.957556
1.76,-0.118387,0.090586,1.061354
1.77,0.163528,0.049553,0.944282
1.78,-0.007192,-0.097514,0.947301
1.79,-0.214676,-0.064942,1.029306
1.8,0.18688,0.133314,1.001831
1.81,0.087645,-0.043036,0.939081
1.82,-0.128984,-0.126683,0.967074
1.83,0.011098,0.181927,1.039887
1.84,0.141636,0.009751,0.922075
1.85,-0.030668,-0.125203,0.948577
1.86,-0.202756,0.015427,1.052932
1.87,0.16437,0.092401,0.954664
1.88,0.018643,-0.07941,0.953686
1.89,-0.164128,-0.10834,1.011265
1.9,0.141085,0.200876,1.02082
1.91,0.110064,-0.012258,0.928385
1.92,-0.091371,-0.116108,0.955107
1.93,-0.091462,0.130551,1.057651
1.94,0.142186,0.061059,0.939066
1.95,-0.027675,-0.080917,0.933262
1.96,-0.21444,-0.06775,1.036767
1.97,0.173325,0.124385,0.981164
1.98,0.074638,-0.044073,0.937466
1.99,-0.139283,-0.129863,0.979671
2.0,0.033924,0.166648,1.037045
2.01,0.148139,-0.003636,0.931128
2.02,-0.056535,-0.104411,0.951045
2.03,-0.181975,0.042432,1.060024
2.04,0.150258,0.066998,0.958212
2.05,0.021911,-0.100542,0.940499
2.06,-0.206748,-0.107349,1.012527
2.07,0.125649,0.164661,1.010985
2.08,0.094643,-0.005491,0.938683
2.09,-0.100817,-0.110883,0.962959
2.1,-0.067231,0.151673,1.059981
2.11,0.13355,0.022924,0.941452
2.12,-0.027012,-0.108478,0.953038
2.13,-0.228066,-0.042138,1.054203
2.14,0.177575,0.089368,0.9682
2.15,0.075536,-0.086653,0.939829
2.16,-0.144796,-0.137796,0.991338
2.17,0.076302,0.159834,1.033263
2.18,0.124115,-0.01986,0.928435
2.19,-0.074374,-0.094401,0.94411
2.2,-0.172632,0.067656,1.0586
2.21,0.172469,0.07802,0.942107
2.22,0.012215,-0.092222,0.94338
2.23,-0.220557,-0.078899,1.01767
2.24,0.157271,0.154541,0.993497
2.25,0.099951,-0.035303,0.937557
2.26,-0.077594,-0.107073,0.97153
2.27,-0.0234,0.150669,1.055407
2.28,0.133487,0.027116,0.946949
2.29,-0.040545,-0.100711,0.948091
2.3,-0.235518,-0.018592,1.051376
2.31,0.174929,0.093267,0.95972
2.32,0.055392,-0.091975,0.932901
2.33,-0.150993,-0.112344,1.007801
2.34,0.079409,0.191261,1.021201
2.35,0.112575,-0.022919,0.926586
2.36,-0.100357,-0.111012,0.955859
2.37,-0.148048,0.098899,1.058014
2.38,0.150896,0.058708,0.937061
2.39,-0.008249,-0.082253,0.941639
2.4,-0.226493,-0.059676,1.03671
2.41,0.166971,0.141452,0.986996
2.42,0.06714,-0.030174,0.928937
2.43,-0.13743,-0.123232,0.98191
2.44,0.012475,0.183295,1.050527
2.45,0.122814,0.013279,0.929024
2.46,-0.059342,-0.113368,0.938404
2.47,-0.186953,-0.010472,1.048056
2.48,0.214989,0.09054,0.959216
2.49,0.025181,-0.103373,0.948382
2.5,-0.183856,-0.097102,0.999318
2.51,0.117028,0.20246,1.018594
2.52,0.135126,-0.031128,0.937706
2.53,-0.095458,-0.10895,0.945462
2.54,-0.121702,0.105799,1.064108
2.55,0.166839,0.033514,0.931917
2.56,-0.008076,-0.094393,0.946138
2.57,-0.225736,-0.059414,1.03729
2.58,0.174569,0.161032,0.990231
2.59,0.061744,-0.064844,0.94171
2.6,-0.135668,-0.105255,0.968136
2.61,0.016135,0.181388,1.037543
2.62,0.135777,0.014303,0.933072
2.63,-0.061472,-0.114562,0.948603
2.64,-0.189644,0.034874,1.058468
2.65,0.188561,0.077725,0.958299
2.66,0.028544,-0.100697,0.945708
2.67,-0.18834,-0.093758,1.011553
2.68,0.134721,0.185758,1.000008
2.69,0.107625,-0.02288,0.931923
2.7,-0.102021,-0.09553,0.966508
2.71,-0.084899,0.152228,1.049552
2.72,0.150275,0.027229,0.940098
2.73,0.001136,-0.101239,0.950419
2.74,-0.203813,-0.047796,1.042477
2.75,0.18534,0.12628,0.95753
2.76,0.058167,-0.074627,0.931759
2.77,-0.159906,-0.09715,1.000308
2.78,0.064658,0.190187,1.032798
2.79,0.1309,-0.005547,0.920332
2.8,-0.057457,-0.095678,0.959535
2.81,-0.197945,0.034002,1.057699
2.82,0.182546,0.042343,0.954932
2.83,0.019648,-0.086147,0.944328
2.84,-0.217472,-0.091373,1.022818
2.85,0.14567,0.171898,1.005036
2.86,0.103143,-0.054585,0.939953
2.87,-0.103395,-0.115663,0.982537
2.88,-0.060304,0.176468,1.05898
2.89,0.144366,0.033028,0.924856
2.9,-0.036958,-0.105098,0.948695
2.91,-0.218068,-0.024668,1.053762
2.92,0.199799,0.106807,0.975747
2.93,0.024835,-0.100842,0.937783
2.94,-0.163567,-0.111388,1.002921
2.95,0.081294,0.197727,1.034744
2.96,0.125869,-0.029659,0.948076
2.97,-0.07616,-0.1189,0.950507
2.98,-0.175548,0.070329,1.055469
2.99,0.169594,0.043338,0.941967
3.0,0.022771,-0.099099,0.940321
3.01,-0.231888,-0.104753,1.021733
3.02,0.174934,0.164988,0.978001
3.03,0.087398,-0.038405,0.93431
3.04,-0.116441,-0.119581,0.976533
3.05,-0.036659,0.136998,1.046178
3.06,0.136043,0.003116,0.944653
3.07,-0.027613,-0.093347,0.947446
3.08,-0.205518,-0.030001,1.059021
3.09,0.201777,0.093085,0.963257
3.1,0.057526,-0.096615,0.946103
3.11,-0.169573,-0.100856,1.004788
3.12,0.125981,0.177562,1.02991
3.13,0.121734,-0.013967,0.933696
3.14,-0.070603,-0.105352,0.961441
3.15,-0.131773,0.129257,1.060449
3.16,0.160359,0.041925,0.938351
3.17,-0.017938,-0.098332,0.946338
3.18,-0.207989,-0.082421,1.047113
3.19,0.159755,0.159,0.984778
3.2,0.09107,-0.065314,0.94056
3.21,-0.130672,-0.123943,0.987845
3.22,0.022692,0.177222,1.050968
3.23,0.143746,-0.011444,0.932421
3.24,-0.030122,-0.106197,0.934797
3.25,-0.191619,0.038923,1.05779
3.26,0.158952,0.087033,0.942163
3.27,0.030067,-0.107835,0.950663
3.28,-0.202386,-0.105802,1.011423
3.29,0.121236,0.189292,1.019787
3.3,0.128102,-0.049697,0.928893
3.31,-0.082369,-0.126394,0.953207
3.32,-0.107355,0.138853,1.058391
3.33,0.141281,0.037987,0.936926
3.34,-0.020108,-0.100173,0.941724
3.35,-0.237255,-0.024483,1.040327
3.36,0.171513,0.1364,0.99508
3.37,0.074802,-0.056791,0.944105
3.38,-0.128044,-0.084421,0.993047
3.39,0.047533,0.181821,1.043286
3.4,0.102009,-0.009936,0.941066
3.41,-0.05677,-0.104587,0.950143
3.42,-0.182737,0.057132,1.04474
3.43,0.178156,0.064282,0.948842
3.44,0.037725,-0.106518,0.947338
3.45,-0.225259,-0.067883,1.011856
3.46,0.138931,0.176109,1.004556
3.47,0.109724,-0.044548,0.93124
3.48,-0.11934,-0.103934,0.976198
3.49,-0.049866,0.145592,1.058754
3.5,0.151942,0.022897,0.938827
3.51,-0.020538,-0.09997,0.949366
3.52,-0.228179,-0.042101,1.045044
3.53,0.191743,0.120595,0.972122
3.54,0.072426,-0.049784,0.93294
3.55,-0.153188,-0.109776,0.980467
3.56,0.072679,0.1829,1.03245
3.57,0.127406,-0.014207,0.93441
3.58,-0.079205,-0.115545,0.961239
3.59,-0.164194,0.073207,1.06777
3.6,0.165804,0.054137,0.954637
3.61,0.010643,-0.087505,0.937074
3.62,-0.198667,-0.104969,1.022658
3.63,0.147895,0.17193,1.000215
3.64,0.092833,-0.049076,0.951726
3.65,-0.09392,-0.111693,0.981321
3.66,-0.043908,0.148849,1.057308
3.67,0.13201,0.03366,0.931075
